date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:07	4833/4833	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Mar%202023%2008:43:49%20GMT	https://www.cokitos.com/juegos/twin-the-bin/	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/index.html	(from )
20:04:08	395/395	---M-Z	200	added ('OK')	text/plain	date:Tue,%2029%20Aug%202023%2002:04:02%20GMT	https://www.cokitos.com/robots.txt		(from )
20:04:08	686/686	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2008:43:50%20GMT	https://www.cokitos.com/juegos/twin-the-bin/css/reset.css	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/reset.css	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:09	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%22640ee246-882%22	https://www.cokitos.com/juegos/twin-the-bin/css/main.css	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/main.css	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:09	1228/1228	---MCZ	200	added ('OK')	text/css	etag:W/%22640ee246-68f%22	https://www.cokitos.com/juegos/twin-the-bin/css/ios_fullscreen.css	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/ios_fullscreen.css	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:10	67646/67646	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22640ee245-1083e%22	https://www.cokitos.com/juegos/twin-the-bin/favicon.ico	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/favicon.ico	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:10	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640ee247-15283%22	https://www.cokitos.com/juegos/twin-the-bin/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/js/jquery-3.2.1.min.js	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:12	242057/242057	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640ee246-3b189%22	https://www.cokitos.com/juegos/twin-the-bin/js/createjs.min.js	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/js/createjs.min.js	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:13	34747/34747	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640ee247-87bb%22	https://www.cokitos.com/juegos/twin-the-bin/js/howler.min.js	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/js/howler.min.js	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:14	1178/1178	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640ee246-49a%22	https://www.cokitos.com/juegos/twin-the-bin/js/CLang.min.js	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/js/CLang.min.js	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:14	87341/87341	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640ee247-1567e%22	https://www.cokitos.com/juegos/twin-the-bin/js/main.js	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/js/main.js	(from https://www.cokitos.com/juegos/twin-the-bin/)
20:04:15	1389805/1389805	---M--	200	added ('OK')	image/jpeg	etag:%22640ee246-1534ed%22	https://www.cokitos.com/juegos/twin-the-bin/css/bg_body.jpg	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/bg_body.jpg	(from https://www.cokitos.com/juegos/twin-the-bin/css/main.css)
20:04:16	51104/51104	---M--	200	added ('OK')	application/font-woff2	etag:%22640ee246-c7a0%22	https://www.cokitos.com/juegos/twin-the-bin/css/comiquitasans-webfont.woff2	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/comiquitasans-webfont.woff2	(from https://www.cokitos.com/juegos/twin-the-bin/css/main.css)
20:04:16	63432/63432	---M--	200	added ('OK')	application/x-font-woff	etag:%22640ee246-f7c8%22	https://www.cokitos.com/juegos/twin-the-bin/css/comiquitasans-webfont.woff	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/comiquitasans-webfont.woff	(from https://www.cokitos.com/juegos/twin-the-bin/css/main.css)
20:04:17	252383/252383	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22640ee245-3d9df%22	https://www.cokitos.com/juegos/twin-the-bin/css/comiquitasans-webfont.svg	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/css/comiquitasans-webfont.svg	(from https://www.cokitos.com/juegos/twin-the-bin/css/main.css)
20:04:18	1692/1692	---M--	200	added ('OK')	image/png	etag:%22640ee24a-69c%22	https://www.cokitos.com/juegos/twin-the-bin/sprites/swipe.png	C:/My%20Web%20Sites/reciclaje/www.cokitos.com/juegos/twin-the-bin/sprites/swipe.png	(from https://www.cokitos.com/juegos/twin-the-bin/css/ios_fullscreen.css)
