date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:38:50	423545/423545	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:15:55%20GMT	http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720	C:/My%20Web%20Sites/murcielagos/smartfun.club/servee65a.html	(from )
07:38:50	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2001%20Sep%202023%2013:15:55%20GMT	http://smartfun.club/robots.txt		(from )
07:38:53	93436/93436	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22cfa9051cc0b05eb519f1e16b2a6645d7%22	http://whitelabel-cdn.marketjs.com/jquery.min.js	C:/My%20Web%20Sites/murcielagos/whitelabel-cdn.marketjs.com/jquery.min.js	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:53	3208/3208	---M--	200	added ('OK')	image/gif	etag:%2237e24e0370847870c1c43ea9ce19b1f4%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/loading/ajax-loader.gif	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/loading/ajax-loader.gif	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:53	776/776	---M--	200	added ('OK')	image/png	etag:%22ukjbGg%22	http://smartfun.club/static/test/images/ad/close-button.png	C:/My%20Web%20Sites/murcielagos/smartfun.club/static/test/images/ad/close-button.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:53	96/96	---M--	200	added ('OK')	image/png	etag:%22ukjbGg%22	http://smartfun.club/static/test/images/branding/splash_screen/invisible.png	C:/My%20Web%20Sites/murcielagos/smartfun.club/static/test/images/branding/splash_screen/invisible.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:56	90325/90325	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:16:06%20GMT	http://smartfun.club/	C:/My%20Web%20Sites/murcielagos/smartfun.club/index.html	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:57	154/154	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Sep%202023%2013:16:08%20GMT	http://smartfun.club/GET	C:/My%20Web%20Sites/murcielagos/smartfun.club/GET	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:58	118/118	---M--	200	added ('OK')	image/png	etag:%2246fd1b01497fb24616ebc7ffdd290654%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/loading_bar.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/loading_bar.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:38:58	237/237	---M--	200	added ('OK')	image/png	etag:%2211abd5a93a7fd1d6b06a7b574c58f1ec%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/loading.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/loading.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
