date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:02	117483/117483	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2000:12:58%20GMT	https://www.educaplay.com/game/11053416-el_animal_infiltrado.html	C:/My%20Web%20Sites/rana/www.educaplay.com/game/11053416-el_animal_infiltrado.html	(from )
18:13:03	183/183	---M--	200	added ('OK')	text/plain	date:Fri,%2025%20Aug%202023%2000:13:00%20GMT	https://www.educaplay.com/robots.txt		(from )
18:13:04	156560/156560	---MCZ	200	added ('OK')	application/javascript	etag:W/%22280dc6d955e57fd263fd0f3f9741c059%22	https://cloud.educaplay.com/r2/js/vendor/core-js-bundle/minified.js?v=1692874614	C:/My%20Web%20Sites/rana/cloud.educaplay.com/r2/js/vendor/core-js-bundle/minified53f9.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:06	6272/6272	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e044a63e034bf10304dad73138b8c74b%22	https://cloud.educaplay.com/r2/js/vendor/@webcomponents/webcomponentsjs/webcomponents-loader.js?v=1692874614	C:/My%20Web%20Sites/rana/cloud.educaplay.com/r2/js/vendor/@webcomponents/webcomponentsjs/webcomponents-loader53f9.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:07	172028/172028	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3336296b308e4cb13917e5d4bd0fadf%22	https://cloud.educaplay.com/r2/js/cookie-consent.es5.js?v=1692874614	C:/My%20Web%20Sites/rana/cloud.educaplay.com/r2/js/cookie-consent.es553f9.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:07	51978/51978	---MCZ	200	added ('OK')	application/javascript	etag:W/%22454c39c2f009d99e564a8258c5c7c5db%22	https://cloud.educaplay.com/r2/js/cookie-consent.js?v=1692874614	C:/My%20Web%20Sites/rana/cloud.educaplay.com/r2/js/cookie-consent53f9.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:08	1304/1304	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce1714a8291e2f66fb17bd1a518c0625%22	https://cloud.educaplay.com/r2/js/cookie-consent-config.js?v=1692874614	C:/My%20Web%20Sites/rana/cloud.educaplay.com/r2/js/cookie-consent-config53f9.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:09	0/0	---M--	301	error ('Moved%20Permanently')	application/javascript	date:Fri,%2025%20Aug%202023%2000:13:05%20GMT	http://www.educaplay.com/gameData/20230825001258/11053416.js	C:/My%20Web%20Sites/rana/www.educaplay.com/gameData/20230825001258/11053416.7.delayed	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:09	1040298/1040298	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265e7955f46855114929307bb7d6f5ca5%22	https://cloud.educaplay.com/r2/js/activities/commonV2/phaser.min.js?v=1692874614	C:/My%20Web%20Sites/rana/cloud.educaplay.com/r2/js/activities/commonV2/phaser.min53f9.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
18:13:11	15843/15843	---MC-	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202023%2000:13:07%20GMT	https://www.educaplay.com/gameData/20230825001258/11053416.js	C:/My%20Web%20Sites/rana/www.educaplay.com/gameData/20230825001258/11053416.js	(from https://www.educaplay.com/game/11053416-el_animal_infiltrado.html)
